,device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
97,Asus Zenfone Max ,5.5,Corning Gorilla Glass 4,6.1,3,0.4,202,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,64,5000,Snapdragon 410,Cortex-A53,4,Qualcomm MSM8916,1.2,Adreno 306,7199
98,Asus Zenfone Max 32GB ,5.5,Corning Gorilla Glass 4,6.1,3,0.4,202,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32,2,64,5000,Snapdragon 615,Cortex-A53,4,Qualcomm,1.2,Adreno 306,8600
99,Asus Zenfone Max 3GB RAM ,5.5,Corning Gorilla Glass 4,6.1,3,0.4,202,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,32,3,64,5000,Snapdragon 615,Cortex-A53,4,Qualcomm MSM8939,1.5+1.0,Adreno 405,11999
100,Asus Zenfone Max Pro (M1) ,5.99,,6.2,2.9,0.3,180,"Android OS, v8.1 (Oreo)",2,13+5,1,8,32,3,256,5000,Snapdragon 636,Cortex A53,8,Qualcomm,1.8,Adreno 509,10999
101,Asus Zenfone Max Pro (M1) 6GB RAM ,5.99,,6.2,2.9,0.3,180,"Android OS, v8.1 (Oreo)",2,16+5,1,16,64,6,256,5000,Snapdragon 636,Cortex A53,8,Qualcomm,1.8,Adreno 509,14999
102,Asus Zenfone Selfie 2GB RAM ,5.5,,6.1,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,13,16,2,128,3000,Snapdragon 615,Cortex-A53,8,Qualcomm MSM8939,1.7+1.0,Adreno 405,14999
103,Asus Zenfone Selfie ZD551KL ,5.5,,6.1,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,13,32,3,256,3000,Snapdragon 615,Cortex-A53,8,Qualcomm MSM8939,1.7,Adreno 405,16100
104,Asus Zenfone Zoom ,5.5,,6.2,3.1,0.4,185,"Android OS, v5.0 (Lollipop)",1,13,1,5,128,4,128,3000,,,4,,2.3,PowerVR G6430,14999
105,Gionee A1 ,5.5,Corning Gorilla Glass,6,3,0.3,182,"Android OS, v7.0 (Nougat)",1,13,1,16,64,4,128,4010,Helio P10,Cortex-A53,8,Mediatek MT6755,2,Mali-T860MP2,11950
106,Gionee A1 Lite ,5.3,,,,,160,"Android OS, v7.0 (Nougat)",1,13,1,20,32,3,64,4000,MT6753,Cortex-A53,8,Mediatek,1.3,Mali-T720MP3,8290
107,Gionee A1 Plus ,6,,6.55,3.28,0.36,226,"Android OS, v7.0 (Nougat)",2,13+5,1,20,64,4,128,4550,Helio P25,Cortex-A53,8,MediaTek MT6757T,1.8,Mali-T880MP2 ,15999
108,Gionee CTRL V4S ,4.5,,5.1,2.5,0.3,,"Android OS, v4.4 (KitKat)",1,8,1,2,8,1,32,1800,,Cortex-A7,4,,1.3,Mali-400,4999
109,Gionee CTRL V5 ,4.7,,5.3,2.6,0.3,103,"Android OS, v4.2 (Jelly Bean)",1,8,1,2,8,1,32,1800,,Cortex-A7,4,Mediatek MT6582V/X,1.3,Mali-400MP2,4500
110,Gionee CTRL V6L ,5,,5.6,2.7,0.2,124,"Android OS, v4.4 (KitKat)",1,8,1,5,8,1,32,1950,Snapdragon 400,Cortex-A7,4,Qualcomm ,1.2,Adreno 305,6870
111,Gionee Elife E3 ,4.7,,5.3,2.6,0.3,,"Android OS, v4.2 (Jelly Bean)",1,8,1,2,16,1,32,1800,,Cortex-A7,4,,1.2,PowerVR Series 5XT,7000
112,Gionee Elife E5 ,4.8,,5.3,2.7,0.2,135,"Android OS, v4.2 (Jelly Bean)",1,8,1,5,16,1,0,2000,,Cortex-A7,4,,1.5, PowerVR Series 5XT,16668
113,Gionee Elife E6 ,5,,5.6,2.7,0.3,,"Android OS, v4.2 (Jelly Bean)",1,13,1,5,32,2,0,2000,,Cortex-A7,4,,1.5,PowerVR Series 5XT,12000
114,Gionee Elife E7 ,5.5,,5.9,2.9,0.3,150,"Android OS, v4.2 (Jelly Bean)",1,16,1,8,16,2,0,2500,Snapdragon 800,,8,Qualcomm MSM8274,2.2+2.5,Adreno 330,17099
115,Gionee Elife E7 (32 GB) ,5.5,,5.9,2.9,0.3,150,"Android OS, v4.2 (Jelly Bean)",1,16,1,8,32,3,0,2500,Snapdragon 800,Krait 400,4,Qualcomm MSM8274 ,2.5,Adreno 330,21780
116,Gionee Elife E7 Mini ,4.7,,5.5,2.6,0.3,142.9,"Android OS, v4.2.2 (Jelly Bean)",1,13,0,,16,1,0,2200,,Cortex-A7,8,,1.7,Mali-450MP4,11999
117,Gionee Elife E8 ,6,,6.4,3.2,0.3,210,"Android OS, v5.1 (Lollipop)",1,24,1,8,64,3,256,3500,Helio X10,Cortex-A53,8,Mediatek MT6795,2,PowerVR G6200,14820
118,Gionee Elife S5.1 ,4.8,,5.5,2.6,0.2,97.7,"Android OS, v4.4.2 (KitKat)",1,8,1,5,16,1,0,2050,,Cortex-A7,8,,1.7,Mali-450MP4,9336
119,Gionee Elife S5.5 ,5,,5.7,2.7,0.2,133,"Android OS, v4.2 (Jelly Bean)",1,13,1,5,16,2,0,2300,,Cortex-A7,8,,1.7,Mali-450MP4,19999
120,Gionee Elife S6 ,5.5,,5.9,2.9,0.2,147,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,32,3,128,3150,,Cortex-A53,8,,1.3,Mali-T720MP3,12299
121,Gionee Elife S7 ,5.2,,5.8,2.8,0.2,125.3,"Android OS, v5.0 (Lollipop)",1,13,1,8,16,2,0,2700,,Cortex-A53,8,,1.7,Mali-T760MP2,32050
122,Gionee F103 ,5,,5.6,2.7,0.3,136.6,"Android OS, v5.0 (Lollipop)",1,8,1,5,16,2,32,2400,,Cortex-A53,4,,1.3,Mali-T720MP2,6990
123,Gionee F103 3GB RAM ,5,,5.6,2.7,0.3,136.6,"Android OS, v5.0 (Lollipop)",1,8,1,5,16,3,32,2400,,Cortex-A53,4,,1.3,Mali-T720MP2,10499
124,Gionee F103 Pro ,5,Asahi Dragontrail Glass,,,,142,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16,3,128,2400,,Cortex A53,4,MediaTek MT6735,1.3,Mali-T720 MP2,6649
125,Gionee F205 ,5.45,,5.8,2.7,0.3,135,"Android OS, v7.1 (Nougat)",1,8,1,5,16,2,128,2670,MT6739,Cortex A53,4,MediaTek,1.3,PowerVR GE8100,7990
126,Gionee G3 ,5.5,,6.2,3.1,0.3,,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,4,0.5,32,2250,Mediatek MT6589,Cortex-A7,4,,1.2,PowerVR SGX544,10990
