device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Karbonn A1 Champ Alfa ,3.5,,,,,105.0,"Android OS, v4.4 (KitKat)",1,3,2,0+3,0.5,0.5,32,1300,,,1.0,,1.2,,"2,999"
Karbonn K42 ,2.4,,,,,92.0,,1,1.3,0,,32KB,,16,1000,,,,,,,"2,865"
Karbonn Alfa 112 ,4.0,,,,,113.0,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1300,,,1.0,,1.0,,"2,391"
Karbonn Alfa A110 ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1300,,,1.0,,1.0,,"2,200"
Karbonn K59 ,2.4,,,,,95.0,,1,1.3,0,,,,8,1500,,,,,,,"1,650"
Karbonn K4000 ,2.4,,,,,,,1,1.3,0,,,,32,4000,,,,,,,"1,599"
Karbonn K97 ,2.8,,,,,,,1,0.3,0,,,,8,1750,,,,,,,"1,590"
Karbonn K111 Selfie ,2.4,,,,,,,1,1.3,2,1+3,,,16,1500,,,,,,,"1,575"
Karbonn K55 Star ,2.4,,,,,,,1,1.3,0,,,,8,1500,,,,,,,"1,500"
Karbonn K96 Plus ,2.4,,,,,,,1,1.3,0,,,,16,1800,,,,,,,"1,499"
Karbonn K31 ,2.4,,,,,,,1,0.3,0,,,,16,1800,,,,,,,"1,490"
Karbonn K41 ,2.4,,,,,,,1,0.3,0,,,,16,2800,,,,,,,"1,375"
Karbonn K18 Jumbo ,2.4,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,375"
Karbonn K88 ,2.4,,,,,,,1,1.3,0,,,,16,1800,,,,,,,"1,310"
Karbonn K Flame ,2.4,,,,,,,1,0.3,0,,,,16,1300,,,,,,,"1,200"
Karbonn K113 Plus ,2.4,,,,,,,1,1.3,0,,,,16,1000,,,,,,,"1,199"
Karbonn K21 Star ,2.4,,,,,,,1,1.3,0,,,,16,1000,,,,,,,"1,119"
Karbonn K113 ,2.4,,,,,102.0,,1,1.3,0,,,,8,1000,,,,,,,"1,110"
Karbonn Kphone 1 ,2.4,,4.5,1.9,0.4,112.0,,1,1.3,0,,,,16,1400,,,,,,,"1,109"
Karbonn K595 Power ,2.4,,,,,,,1,0.3,0,,,,16,3000,,,,,,,"1,099"
Karbonn K44 Plus ,1.8,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,099"
Karbonn K324N ,2.4,,,,,,,1,0.3,0,,,,16,1750,,,,,,,"1,099"
Karbonn K250 ,2.4,,,,,99.0,,1,1.3,0,,,,16,800,,,,,,,"1,095"
Karbonn K490 ,2.4,,,,,112.0,,1,0.3,0,,,,8,1800,,,,,,,"1,089"
Karbonn K2s ,1.8,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,046"
Karbonn K334 Shine ,2.4,,,,,,,1,1.3,0,,,,32,1700,,,,,,,999
Karbonn K142 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,806
Karbonn K5 Jumbo ,1.8,,,,,,,1,0.3,0,,,,16,1800,,,,,,,779
Karbonn K46 LED ,1.8,,,,,,,1,0.3,0,,,,16,1750,,,,,,,749
Karbonn K206 ,1.8,,,,,64.0,,1,0.3,0,,,,32,800,,,,,,,699
Karbonn Titanium S5 Plus ,5.0,,5.4,2.7,0.3,104.0,"Android OS, v4.2 (Jelly Bean)",1,8,2,0+3,4.0,1.0,32,1800,,,4.0,,1.3,,"12,990"
Karbonn Titanium S10 ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,8,1,2,4.0,1.0,32,1850,,,4.0,,1.3,,"6,000"
Karbonn K9 Kavach 16GB ,5.0,,5.7,2.9,0.3,161.0,"Android OS, v7.0 (Nougat)",1,5,1,5,16.0,2.0,32,2300,,,4.0,,1.2,,"5,198"
Karbonn Quattro L50 ,5.0,,,,,134.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2600,,,4.0,,1.3,,"4,999"
Karbonn Titanium Dazzle 3 S204 ,5.0,,,,,143.0,"Android OS, v5.0 (Lollipop)",1,8,1,2,8.0,1.0,32,1750,,,4.0,,1.2,,"4,793"
Karbonn Quattro L50 HD ,5.0,,,,,136.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2650,,Cortex A53,4.0,MediaTek MT6735,1.3,Mali-T720 MP2,"4,450"
Karbonn K41 Power 4G ,4.0,,,,,130.0,"Android OS, v7.0 (Nougat)",1,2,2,0+3,8.0,1.0,32,2300,,,4.0,,1.3,,"4,444"
Karbonn Machone Titanium S310 ,4.7,,,,,,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,1800,,,4.0,,1.3,,"4,399"
Karbonn Titanium Dazzle S201 ,5.0,,,,,160.0,"Android OS, v4.4 (KitKat)",1,5,1,2,8.0,1.0,32,1850,,,4.0,,1.2,,"3,999"
Karbonn K9 Smart ,5.0,,,,,146.3,"Android OS, v4.4 (KitKat)",1,3.2,2,1+3,8Gb,0.5,32,2300,,,2.0,,1.2,,"3,094"
Karbonn A91 Storm ,4.0,,,,,117.0,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,4.0,0.5,32,2200,,,4.0,,1.2,,"3,090"
Karbonn K111 Superstar ,2.4,,,,,,,1,1.3,2,0+3,,,32,2700,,,,,,,"1,285"
Karbonn K9 SPY ,2.4,,,,,,,1,1.3,0,,,,16,1750,,,,,,,"1,165"
Karbonn K885 Metal ,2.8,,,,,,,1,0.3,0,,,,32,1800,,,,,,,"1,149"
Karbonn k880 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,"1,139"
