device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Samsung Guru E1081 ,1.4,,4.2,1.7,0.5,64.5,,0,,0,,,,0,800,,,,,,,991
Samsung Galaxy A8 ,5.7,Corning Gorilla Glass 4,6.2,3.0,0.2,151.0,"Android OS, v5.1 (Lollipop)",1,16,1,5,32.0,2.0,128,3050,Exynos 5,Cortex-A53,8.0,Qualcomm MSM8939,1.8+1.3,Adreno 405,"23,999"
Samsung Galaxy J5 Prime ,5.0,Corning Gorilla Glass,5.6,2.7,0.3,143.0,"Android OS, 6.0 (Marshmallow)",1,13,1,5,16.0,2.0,256,2400,Exynos 7570,Cortex-A53,4.0,Samsung,1.4,Mali-T720,"11,400"
Samsung Galaxy Star Advance G350E ,4.3,,,,,129.0,"Android OS, v4.4 (KitKat)",1,3.1,0,,4.0,0.5,32,1800,,,2.0,,1.2,,"4,199"
Samsung Galaxy A5 (2016) ,5.2,Corning Gorilla Glass 4,5.7,2.8,0.2,155.0,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,16.0,2.0,256,2900,Exynos 7 ,Cortex-A53,8.0,Samsung,1.6,Mali-T720MP2,"15,500"
Samsung Galaxy S6 Edge 64GB ,5.1,Corning Gorilla Glass 4,5.5,2.7,0.2,132.0,"Android OS, v5.0.2 (Lollipop)",1,16,1,5,64.0,3.0,0,2600,Exynos 7420,Cortex-A53,8.0,Samsung,1.5+2.1,Mali-T760MP8,"37,190"
Samsung Galaxy Note 4 ,5.7,Corning Gorilla Glass 4,6.0,3.0,0.3,176.0,"Android OS, v4.4.4 (KitKat)",1,16,2,3+7,32.0,3.0,128,3220,Exynos 5433,Cortex-A53,8.0,Samsung,1.3+1.9,Adreno 420,"24,999"
Samsung Galaxy A7 (2016) ,5.5,Corning Gorilla Glass 4,5.9,2.9,0.2,169.0,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,16.0,3.0,Yes,3300,Exynos 7580,Cortex-A53,4.0,Samsung,1.2+1.5,Adreno 405,"16,899"
Samsung Galaxy J5 (2016) ,5.2,,5.74,2.8,0.3,159.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,128,3100,Snapdragon 410,Cortex-A53,4.0,Qualcomm,1.2,Adreno 306,"10,090"
Samsung Galaxy Y Duos S6102 ,3.1,,4.3,2.3,0.4,109.0,"Android OS, v2.3 (Gingerbread)",1,3.15,0,,0.5,0.283203125,32,1300,,,,,832,,"7,500"
Samsung Galaxy Ace S5830 ,3.5,,4.4,2.3,0.4,113.0,"Android OS, v2.3 (Gingerbread)",1,5,0,,0.154296875,0.25,32,1350,Snapdragon S1,,,Qualcomm MSM7227,800,Adreno 200,"7,099"
Samsung Metro DUOS C3322 ,2.2,,4.4,1.8,0.5,89.0,,1,2,0,,0.0439453125,,16,1000,,,,,,No,"7,000"
Samsung Galaxy S Duos 2 ,4.0,,4.7,2.4,0.4,118.0,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,4.0,0.75,64,1500,,Cortex-A9,2.0,,1.2,Broadcom VideoCore IV,"5,999"
Samsung Galaxy S Duos 3 ,4.0,,4.7,2.4,0.4,124.0,"Android OS, v4.4.2 (KitKat)",1,5,0,,4.0,0.5,32,1500,,Cortex-A7,2.0,,1.2,,"5,999"
Samsung Galaxy Y S5360 ,3.0,,4.0,2.2,0.4,97.0,"Android OS, v2.3 (Gingerbread)",1,2,0,,0.17578125,0.283203125,32,1200,,,,,830,,"5,740"
Samsung Galaxy Ace NXT ,4.0,,4.7,2.4,0.4,123.0,"Android OS, v4.4 (KitKat)",1,3,2,0+3,4.0,0.5,32,1500,,Cortex-A7,,,1.2,,"5,490"
Samsung Galaxy J1 4G ,4.3,,5.0,2.6,0.3,122.0,"Android OS, v4.4.4 (KitKat)",1,5,1,2,4.0,0.75,256,1850,,,4.0,,1.2,,"5,553"
Samsung Galaxy J1 ,4.3,,5.0,2.6,0.3,122.0,"Android OS, v4.4.4 (KitKat)",1,5,1,2,4.0,0.5,128,1850,,Cortex-A7,2.0,Spreadtrum,1.2,Mali-400,"5,553"
Samsung Galaxy Trend Duos S7392 ,4.0,,4.7,2.4,0.4,126.0,"Android OS, v4.1 (Jelly Bean)",1,3.1,0,,4.0,0.5,32,1500,,,,,1.0,,"4,998"
Samsung Galaxy S5 Mini Duos ,4.5,,5.1,2.5,0.3,118.0,"Android OS, v4.4.4 (KitKat)",1,8,2,2+1,16.0,1.5,64,2100,,,4.0,,1.4,,"15,999"
Samsung Galaxy S3 Mini VE ,4.0,,4.7,2.4,0.3,112.0,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,8.0,1.0,32,1500,,Cortex-A9,2.0,,1.2,,"11,490"
Samsung Galaxy S Duos 3-VE ,4.0,,4.7,2.4,0.4,124.0,"Android OS, v4.4.2 (KitKat)",1,5,2,0+3,4.0,0.5,32,1500,,Cortex-A7,2.0,,1.2,,"4,449"
Samsung Galaxy Note 5 Dual SIM ,5.7,,6.0,3.0,0.3,171.0,"Android OS, v5.1.1 (Lollipop)",1,16,1,5,32.0,4.0,0,3000,,Cortex-A53,8.0,Exynos 7420 Octa,1.5+2.1,Mali-T760MP8,"34,499"
Samsung Galaxy Grand Max ,5.2,,5.7,2.9,0.3,161.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,1.5,64,2500,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"11,049"
Samsung Galaxy Core ,4.3,,5.0,2.6,0.3,124.0,"Android OS, v4.1 (Jelly Bean)",1,5,2,0+3,8.0,1.0,64,1800,Snapdragon S4 Play,Cortex-A5,2.0,Qualcomm MSM8225 ,1.2,Adreno 203,"9,999"
Samsung Galaxy Grand Quattro ,4.7,,,,,143.0,"Android OS, v4.1 (Jelly Bean)",1,5,2,0+3,8.0,1.0,32,2000,,Cortex-A5,,,1.2,,"6,999"
Samsung Z1 Tizen ,4.0,,4.7,2.4,0.3,112.0,"Tizen OS, v2.3",1,3.15,2,0+3,4.0,0.75,64,1500,,Cortex-A7,2.0,,1.2,Mali-400,"4,999"
Samsung Galaxy Star 2 ,3.5,,4.3,2.3,0.4,107.6,"Android OS, v4.4.2 (KitKat)",1,2,0,,4.0,0.5,32,1300,,,,SC6815A,1.0,,"4,490"
Samsung Galaxy Mega 6.3 i9200 ,6.3,,6.6,3.4,0.3,199.0,"Android OS, v4.2 (Jelly Bean)",1,8,2,1+9,16.0,1.5,64,3200,Snapdragon 400,Krait 300,2.0,Qualcomm ,1.7,Adreno 305,"21,490"
Samsung Galaxy S4 Zoom ,4.3,,4.9,2.5,0.6,208.0,"Android OS, v4.2.2 (Jelly Bean)",1,16,2,1+9,8.0,1.5,64,2330,,Cortex-A9,2.0,,1.5,Mali-400,"22,500"
Samsung Metro B312E ,2.0,,4.4,1.8,0.5,74.0,,1,0.3,0,,,,16,1000,,,,,,,"2,115"
Samsung Galaxy S4 Mini ,4.3,,4.9,2.4,0.3,107.0,"Android OS, v4.2.2 (Jelly Bean)",1,8,2,1+9,8.0,1.5,64,1900,Snapdragon 400,Krait 300,2.0,Qualcomm MSM8930AB,1.7,Adreno 305,"13,608"
Samsung Galaxy Note ,5.3,,5.7,3.2,0.3,178.0,"Android OS, v2.3 (Gingerbread)",1,8,1,2,16.0,1.0,64,2500,,Cortex-A9,2.0,Exynos,1.4,Mali-400,"19,990"
Samsung Galaxy Note 3 Neo ,5.5,,5.8,3.0,0.3,162.5,"Android OS, v4.3 (Jelly Bean)",1,8,1,2,16.0,2.0,64,3100,,Cortex A7,6.0,,1.3+1.7,Mali-T624 MP4,"17,999"
Samsung Galaxy Grand Duos ,5.0,,5.6,3.0,0.3,162.0,"Android OS, v4.1.2 (Jelly Bean)",1,8,1,2,8.0,1.0,64,2100,,Cortex-A9,2.0,,1.2,Broadcom VideoCore IV,"12,699"
Samsung Galaxy Grand Neo ,5.0,,5.6,3.0,0.3,163.0,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,8.0,1.0,64,2100,,Cortex-A7,4.0,,1.2,,"5,999"
Samsung Galaxy S Duos ,4.0,,4.7,2.4,0.4,120.0,"Android OS, v4.0 (Ice Cream Sandwich)",1,5,0,,4.0,0.75,Yes,1500,Snapdragon S1,,1.0,Qualcomm,1,Adreno 200,"5,999"
Samsung Z3 ,5.0,,5.5,2.7,0.3,137.0,"Tizen OS, v2.4",1,8,1,5,8.0,1.0,128,2600,SC7730,Cortex-A7,4.0,Spreadtrum,1.3,Mali-400,"6,350"
Samsung Galaxy Mega 5.8 I9152 ,5.8,,6.4,3.2,0.3,182.0,"Android OS, v4.2 (Jelly Bean)",1,8,2,1+9,8.0,1.5,64,2600,,,2.0,,1.4,,"7,999"
Samsung Galaxy Star Pro Duos ,4.0,,4.7,2.4,0.4,121.0,"Android OS, v4.1.2 (Jelly Bean)",1,2,0,,4.0,0.5,32,1500mAh,,Cortex-A5,,,1.0,,"4,199"
